,gvkey,iid,gvkeyx,from,thru,conml,from_yearquarter,thru_yearquarter,2008-Quarter1,2008-Quarter2,2008-Quarter3,2008-Quarter4,2009-Quarter1,2009-Quarter2,2009-Quarter3,2009-Quarter4,2010-Quarter1,2010-Quarter2,2010-Quarter3,2010-Quarter4,2011-Quarter1,2011-Quarter2,2011-Quarter3,2011-Quarter4,2012-Quarter1,2012-Quarter2,2012-Quarter3,2012-Quarter4,2013-Quarter1,2013-Quarter2,2013-Quarter3,2013-Quarter4,2014-Quarter1,2014-Quarter2,2014-Quarter3,2014-Quarter4,2015-Quarter1,2015-Quarter2,2015-Quarter3,2015-Quarter4,2016-Quarter1,2016-Quarter2,2016-Quarter3,2016-Quarter4,2017-Quarter1,2017-Quarter2,2017-Quarter3,2017-Quarter4,2018-Quarter1,2018-Quarter2,2018-Quarter3,2018-Quarter4,2019-Quarter1,2019-Quarter2,2019-Quarter3
168,5606,1,3,1974-12-31 00:00:00.000000,,HP Inc,1975-Quarter1,2019-Quarter3,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc,HP Inc
169,5643,4,3,2017-06-19 00:00:00.000000,,Hilton Worldwide Holdings Inc,2017-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc,Hilton Worldwide Holdings Inc
170,5667,1,3,2018-06-18 00:00:00.000000,,HollyFrontier Corp,2018-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HollyFrontier Corp,HollyFrontier Corp,HollyFrontier Corp,HollyFrontier Corp,HollyFrontier Corp
171,5680,1,3,1988-03-31 00:00:00.000000,,Home Depot Inc. (The),1988-Quarter2,2019-Quarter3,Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The),Home Depot Inc. (The)
172,5709,1,3,2009-03-04 00:00:00.000000,,Hormel Foods Corp,2009-Quarter2,2019-Quarter3,0,0,0,0,0,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp,Hormel Foods Corp
173,5783,1,3,2015-07-01 00:00:00.000000,,J.B. Hunt Transport Services Inc.,2015-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.
174,5786,1,3,1997-08-06 00:00:00.000000,,Huntington Bancshares Inc,1997-Quarter4,2019-Quarter3,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc,Huntington Bancshares Inc
175,5959,1,3,1964-03-31 00:00:00.000000,2009-06-30 00:00:00.000000,Ingersoll-Rand PLC,1964-Quarter2,2009-Quarter2,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,5959,1,3,2010-11-17 00:00:00.000000,,Ingersoll-Rand PLC,2011-Quarter1,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC,Ingersoll-Rand PLC
177,5581,1,3,2010-03-01 00:00:00.000000,,Helmerich & Payne Inc.,2010-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.,Helmerich & Payne Inc.
178,5723,1,3,2000-11-17 00:00:00.000000,2016-09-22 00:00:00.000000,Starwood Hotels & Resorts Worldwide Inc.,2001-Quarter1,2016-Quarter3,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,Starwood Hotels & Resorts Worldwide Inc.,0,0,0,0,0,0,0,0,0,0,0,0
179,5742,1,3,1985-07-31 00:00:00.000000,,CenterPoint Energy Inc.,1985-Quarter4,2019-Quarter3,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.,CenterPoint Energy Inc.
180,5860,1,3,1964-03-31 00:00:00.000000,2011-10-31 00:00:00.000000,ITT Inc,1964-Quarter2,2011-Quarter4,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,ITT Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,5878,1,3,1986-02-28 00:00:00.000000,,Illinois Tool Works Inc.,1986-Quarter2,2019-Quarter3,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Illinois Tool Works Inc.
182,6008,1,3,1976-12-31 00:00:00.000000,,Intel Corp,1977-Quarter1,2019-Quarter3,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp,Intel Corp
183,6097,1,3,2001-09-04 00:00:00.000000,2014-06-22 00:00:00.000000,International Game Technology,2001-Quarter4,2014-Quarter2,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,International Game Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,6104,1,3,1964-03-31 00:00:00.000000,,International Paper Co,1964-Quarter2,2019-Quarter3,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co,International Paper Co
185,6216,1,3,2007-10-26 00:00:00.000000,,Jacobs Engineering Group Inc.,2008-Quarter1,2019-Quarter3,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.
186,6266,1,3,1973-06-30 00:00:00.000000,,Johnson & Johnson,1973-Quarter3,2019-Quarter3,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson
187,6268,1,3,1986-05-31 00:00:00.000000,,Johnson Controls International Plc,1986-Quarter3,2019-Quarter3,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc,Johnson Controls International Plc
188,6304,1,3,1997-09-15 00:00:00.000000,,KLA Corp,1997-Quarter4,2019-Quarter3,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp,KLA Corp
189,6307,3,3,2005-03-28 00:00:00.000000,2012-09-04 00:00:00.000000,Sears Holdings Corp,2005-Quarter2,2012-Quarter3,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,Sears Holdings Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6310,4,3,2012-05-25 00:00:00.000000,,Kinder Morgan Inc.,2012-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.,Kinder Morgan Inc.
191,6335,1,3,2013-05-24 00:00:00.000000,,Kansas City Southern,2013-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern,Kansas City Southern
192,6338,1,3,2018-06-05 00:00:00.000000,,Evergy Inc,2018-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Evergy Inc,Evergy Inc,Evergy Inc,Evergy Inc,Evergy Inc
193,6375,1,3,1964-03-31 00:00:00.000000,,Kellogg Co,1964-Quarter2,2019-Quarter3,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co,Kellogg Co
194,6435,1,3,1964-03-31 00:00:00.000000,,Kimberly-Clark Corp,1964-Quarter2,2019-Quarter3,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp,Kimberly-Clark Corp
195,6502,1,3,1964-03-31 00:00:00.000000,,Kroger Co. (The),1964-Quarter2,2019-Quarter3,Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The),Kroger Co. (The)
