gvkey,iid,gvkeyx,from,thru
005860,01,000003,1964-03-31 00:00:00.000000,2011-10-31 00:00:00.000000
005878,01,000003,1986-02-28 00:00:00.000000,
006008,01,000003,1976-12-31 00:00:00.000000,
006097,01,000003,2001-09-04 00:00:00.000000,2014-06-22 00:00:00.000000
006104,01,000003,1964-03-31 00:00:00.000000,
006216,01,000003,2007-10-26 00:00:00.000000,
006266,01,000003,1973-06-30 00:00:00.000000,
006268,01,000003,1986-05-31 00:00:00.000000,
006304,01,000003,1997-09-15 00:00:00.000000,
006307,03,000003,2005-03-28 00:00:00.000000,2012-09-04 00:00:00.000000
006310,04,000003,2012-05-25 00:00:00.000000,
006335,01,000003,2013-05-24 00:00:00.000000,
006338,01,000003,2018-06-05 00:00:00.000000,
006375,01,000003,1964-03-31 00:00:00.000000,
006435,01,000003,1964-03-31 00:00:00.000000,
006502,01,000003,1964-03-31 00:00:00.000000,
006529,01,000003,1995-12-14 00:00:00.000000,2014-05-07 00:00:00.000000
006565,01,000003,2012-06-05 00:00:00.000000,
006649,01,000003,1999-10-18 00:00:00.000000,
006653,01,000003,2006-04-24 00:00:00.000000,2016-12-01 00:00:00.000000
006669,01,000003,2005-10-04 00:00:00.000000,
006682,01,000003,2007-08-27 00:00:00.000000,
006730,01,000003,1970-12-31 00:00:00.000000,
006733,01,000003,1983-09-30 00:00:00.000000,
006742,01,000003,1976-06-30 00:00:00.000000,
006768,01,000003,1984-10-31 00:00:00.000000,2008-12-01 00:00:00.000000
006774,01,000003,1984-07-31 00:00:00.000000,
006781,01,000003,1995-05-10 00:00:00.000000,
006788,01,000003,2007-12-21 00:00:00.000000,2018-06-17 00:00:00.000000
006829,01,000003,1984-02-29 00:00:00.000000,
006994,01,000003,2007-11-16 00:00:00.000000,2009-08-31 00:00:00.000000
007017,01,000003,1991-05-01 00:00:00.000000,
007063,01,000003,2007-03-20 00:00:00.000000,
007065,01,000003,1987-08-31 00:00:00.000000,
007067,01,000003,2002-02-11 00:00:00.000000,2011-07-05 00:00:00.000000
007085,01,000003,1981-06-30 00:00:00.000000,
007116,01,000003,1982-03-31 00:00:00.000000,2019-06-06 00:00:00.000000
007146,01,000003,2003-03-21 00:00:00.000000,
007154,01,000003,1970-06-30 00:00:00.000000,
007163,01,000003,1964-03-31 00:00:00.000000,
007171,01,000003,1999-01-13 00:00:00.000000,
007186,02,000003,2003-08-20 00:00:00.000000,2012-04-03 00:00:00.000000
007228,01,000003,1986-10-31 00:00:00.000000,
007241,01,000003,1964-03-31 00:00:00.000000,
007257,01,000003,1964-03-31 00:00:00.000000,
007260,01,000003,1968-06-30 00:00:00.000000,2011-01-03 00:00:00.000000
007267,01,000003,1982-06-30 00:00:00.000000,2009-01-01 00:00:00.000000
007343,01,000003,1994-09-27 00:00:00.000000,
007366,01,000003,1964-03-31 00:00:00.000000,
007409,01,000003,1988-07-31 00:00:00.000000,2010-07-14 00:00:00.000000
007435,01,000003,1964-03-31 00:00:00.000000,
007506,01,000003,1999-12-01 00:00:00.000000,2013-12-09 00:00:00.000000
007585,01,000003,1964-03-31 00:00:00.000000,
007620,01,000003,2005-08-15 00:00:00.000000,2017-07-25 00:00:00.000000
007637,01,000003,2004-04-23 00:00:00.000000,
007647,01,000003,1976-06-30 00:00:00.000000,
007711,01,000003,1994-09-27 00:00:00.000000,2009-01-01 00:00:00.000000
007750,01,000003,1979-03-31 00:00:00.000000,2016-04-17 00:00:00.000000
007772,01,000003,1976-12-31 00:00:00.000000,2011-09-25 00:00:00.000000
007866,01,000003,1984-11-30 00:00:00.000000,2010-12-19 00:00:00.000000
007875,01,000003,1989-04-30 00:00:00.000000,
007881,01,000003,1969-06-30 00:00:00.000000,
007904,01,000003,1989-08-31 00:00:00.000000,2011-12-12 00:00:00.000000
007906,01,000003,1988-11-30 00:00:00.000000,
007912,01,000003,2007-10-08 00:00:00.000000,
007922,01,000003,1986-08-31 00:00:00.000000,
007923,01,000003,1964-03-31 00:00:00.000000,
007970,01,000003,2009-03-17 00:00:00.000000,
007974,01,000003,2000-11-02 00:00:00.000000,
007977,01,000003,1964-03-31 00:00:00.000000,
007982,01,000003,1998-01-30 00:00:00.000000,
007985,01,000003,1985-06-30 00:00:00.000000,
007991,01,000003,2006-12-20 00:00:00.000000,2008-11-05 00:00:00.000000
008007,01,000003,1976-06-30 00:00:00.000000,
008030,01,000003,1985-04-30 00:00:00.000000,
